{'embedding_size': 256, 'hidden_size': 256, 'learning_rate': 0.001, 'epoch_num': 500, 'try_one_batch': False}
{'train_loss': 5.473140748341878, 'val_loss': 5.695139829317728, 'bleu_score': 0.009320189557452663}
{'train_loss': 0.9243881409366925, 'val_loss': 2.287165335814158, 'bleu_score': 0.16884408042452137}
{'train_loss': 0.9177367421487967, 'val_loss': 2.288103437423706, 'bleu_score': 0.18046574460594395}
{'train_loss': 0.9136700997749965, 'val_loss': 2.296437195936839, 'bleu_score': 0.1776715275805773}
{'train_loss': 0.9061624117195606, 'val_loss': 2.306803373495738, 'bleu_score': 0.19319463113216323}
{'train_loss': 0.9005779167016347, 'val_loss': 2.294119687875112, 'bleu_score': 0.18783992082751855}
{'train_loss': 0.8969740574558576, 'val_loss': 2.2997827927271524, 'bleu_score': 0.19007396254473236}
{'train_loss': 0.8899508612851302, 'val_loss': 2.3023738980293276, 'bleu_score': 0.185324254993868}
{'train_loss': 0.8860208238164584, 'val_loss': 2.297942507266998, 'bleu_score': 0.18716363769415206}
{'train_loss': 0.881424946586291, 'val_loss': 2.29721208413442, 'bleu_score': 0.18268094572853566}
{'train_loss': 0.8750900904337565, 'val_loss': 2.2936065793037415, 'bleu_score': 0.1937278536917672}
{'train_loss': 0.8729980992774169, 'val_loss': 2.2874552687009175, 'bleu_score': 0.18416339585181885}
{'train_loss': 0.867639988164107, 'val_loss': 2.2868299961090086, 'bleu_score': 0.1780441435971964}
{'train_loss': 0.8634107646842798, 'val_loss': 2.295023544629415, 'bleu_score': 0.18069675559179493}
{'train_loss': 0.8583571063975494, 'val_loss': 2.294370130697886, 'bleu_score': 0.18381403951664443}
{'train_loss': 0.8557672515511513, 'val_loss': 2.2949490865071613, 'bleu_score': 0.1860041397242837}
{'train_loss': 0.8500726828972499, 'val_loss': 2.28111511071523, 'bleu_score': 0.19020840755680063}
{'train_loss': 0.8474665984511376, 'val_loss': 2.287946808338165, 'bleu_score': 0.1827352598214808}
{'train_loss': 0.8436787165701389, 'val_loss': 2.288660379250844, 'bleu_score': 0.168466869415072}
{'train_loss': 0.8387864055732887, 'val_loss': 2.2854968229929606, 'bleu_score': 0.18484667124677845}
{'train_loss': 0.8352977241079013, 'val_loss': 2.292587999502818, 'bleu_score': 0.18391079825472156}
